id,product_tmpl_id/id,product_qty,code,active,type,company_id/id,previous_bom_id/id,product_uom_id/id,sequence
"__setup__.mrp_bom_4016","__setup__.product_template_1746","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3944","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4017","__setup__.product_template_1762","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3944","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4018","__setup__.product_template_305","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3944","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4019","__setup__.product_template_1762","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2685","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4020","__setup__.product_template_1933","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4021","__setup__.product_template_1521","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4020","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4022","__setup__.product_template_1310","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4020","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4024","__setup__.product_template_1310","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2470","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4025","__setup__.product_template_1942","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4026","__setup__.product_template_963","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4025","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4027","__setup__.product_template_962","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4025","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4028","__setup__.product_template_964","4.0","","true","normal","base.main_company","__setup__.mrp_bom_4025","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4029","__setup__.product_template_1941","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4030","__setup__.product_template_1741","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4029","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4031","__setup__.product_template_1906","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4029","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4032","__setup__.product_template_1907","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4029","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4033","__setup__.product_template_1933","1.0","","true","normal","__setup__.company_mte","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4034","__setup__.product_template_1580","1.0","","true","normal","__setup__.company_mte","__setup__.mrp_bom_4033","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4035","__setup__.product_template_1683","4.0","","true","normal","base.main_company","__setup__.mrp_bom_3931","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4036","__setup__.product_template_1683","4.0","","true","normal","base.main_company","__setup__.mrp_bom_2987","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4037","__setup__.product_template_1683","3.0","","true","normal","base.main_company","__setup__.mrp_bom_2699","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4038","__setup__.product_template_1683","3.0","","true","normal","base.main_company","__setup__.mrp_bom_3967","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4039","__setup__.product_template_1681","2.0","","true","normal","base.main_company","__setup__.mrp_bom_2987","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4040","__setup__.product_template_1681","2.0","","true","normal","base.main_company","__setup__.mrp_bom_3967","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4041","__setup__.product_template_1681","2.0","","true","normal","base.main_company","__setup__.mrp_bom_3931","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4042","__setup__.product_template_1681","2.0","","true","normal","base.main_company","__setup__.mrp_bom_2699","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4043","__setup__.product_template_1657","1.0","2","true","normal","base.main_company","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4044","__setup__.product_template_1915","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4045","__setup__.product_template_1483","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4046","__setup__.product_template_918","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4047","__setup__.product_template_836","2.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4048","__setup__.product_template_1645","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4049","__setup__.product_template_843","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4050","__setup__.product_template_1557","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4051","__setup__.product_template_842","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4052","__setup__.product_template_951","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4053","__setup__.product_template_1748","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4054","__setup__.product_template_1587","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4055","__setup__.product_template_1528","2.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4056","__setup__.product_template_1556","10.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4057","__setup__.product_template_1371","2.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4058","__setup__.product_template_942","2.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4059","__setup__.product_template_1487","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4060","__setup__.product_template_1579","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4061","__setup__.product_template_315","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4062","__setup__.product_template_905","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4063","__setup__.product_template_840","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4064","__setup__.product_template_845","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4065","__setup__.product_template_124","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4066","__setup__.product_template_1492","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4067","__setup__.product_template_1608","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4068","__setup__.product_template_1609","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4069","__setup__.product_template_1610","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4070","__setup__.product_template_1662","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4071","__setup__.product_template_1650","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4072","__setup__.product_template_1616","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4073","__setup__.product_template_1736","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4074","__setup__.product_template_1735","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4075","__setup__.product_template_1754","2.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4076","__setup__.product_template_1758","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4077","__setup__.product_template_1546","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4078","__setup__.product_template_1545","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4079","__setup__.product_template_1921","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4043","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4080","__setup__.product_template_1944","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","0"
