"id","name","product_id/id","warehouse_id/id","location_id/id","company_id/id","product_min_qty","product_max_qty","qty_multiple","lead_days"
"__setup__.stock_warehouse_orderpoint_1734","MCMOT00029A","__setup__.product_template_1734","stock.warehouse0","stock.stock_location_stock","base.main_company","1200.0","1201.0","1","1"
"__setup__.stock_warehouse_orderpoint_1654","MCLAB00567A","__setup__.product_template_1654","stock.warehouse0","stock.stock_location_stock","base.main_company","100.0","101.0","1","1"
"__setup__.stock_warehouse_orderpoint_1713","MCSAS00594A","__setup__.product_template_1713","stock.warehouse0","stock.stock_location_stock","base.main_company","500.0","501.0","1","1"
"__setup__.stock_warehouse_orderpoint_1899","MCCBL00100A","__setup__.product_template_1899","stock.warehouse0","stock.stock_location_stock","base.main_company","400.0","401.0","1","1"
"__setup__.stock_warehouse_orderpoint_305","MCCBL00091A","__setup__.product_template_305","stock.warehouse0","stock.stock_location_stock","base.main_company","1400.0","1401.0","1","1"
"__setup__.stock_warehouse_orderpoint_2014","TBC","__setup__.product_template_2014","stock.warehouse0","stock.stock_location_stock","base.main_company","500.0","501.0","1","1"
"__setup__.stock_warehouse_orderpoint_1610","MCLAB00558A","__setup__.product_template_1610","stock.warehouse0","stock.stock_location_stock","base.main_company","250.0","251.0","1","1"
"__setup__.stock_warehouse_orderpoint_1438","60383","__setup__.product_template_1438","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1406","MCFAS00402A","__setup__.product_template_1406","stock.warehouse0","stock.stock_location_stock","base.main_company","200.0","201.0","1","1"
"__setup__.stock_warehouse_orderpoint_1715","MCSAS00593A","__setup__.product_template_1715","stock.warehouse0","stock.stock_location_stock","base.main_company","500.0","501.0","1","1"
"__setup__.stock_warehouse_orderpoint_1609","MCLAB00557A","__setup__.product_template_1609","stock.warehouse0","stock.stock_location_stock","base.main_company","250.0","251.0","1","1"
"__setup__.stock_warehouse_orderpoint_1830","60413","__setup__.product_template_1830","stock.warehouse0","stock.stock_location_stock","base.main_company","4.0","5.0","1","1"
"__setup__.stock_warehouse_orderpoint_961","60354","__setup__.product_template_961","stock.warehouse0","stock.stock_location_stock","base.main_company","17.0","18.0","1","1"
"__setup__.stock_warehouse_orderpoint_1528","MCPLA01471A","__setup__.product_template_1528","stock.warehouse0","stock.stock_location_stock","base.main_company","600.0","601.0","1","1"
"__setup__.stock_warehouse_orderpoint_1545","MCSAS00528A","__setup__.product_template_1545","stock.warehouse0","stock.stock_location_stock","base.main_company","1100.0","1101.0","1","1"
"__setup__.stock_warehouse_orderpoint_845","60326","__setup__.product_template_845","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_787","60298","__setup__.product_template_787","stock.warehouse0","stock.stock_location_stock","base.main_company","500.0","501.0","1","1"
"__setup__.stock_warehouse_orderpoint_1527","MCLAB00533A","__setup__.product_template_1527","stock.warehouse0","stock.stock_location_stock","base.main_company","180.0","181.0","1","1"
"__setup__.stock_warehouse_orderpoint_1981","MCSHI00039A","__setup__.product_template_1981","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1656","MCPLA01429B","__setup__.product_template_1656","stock.warehouse0","stock.stock_location_stock","base.main_company","350.0","351.0","1","1"
"__setup__.stock_warehouse_orderpoint_633","60258 AA","__setup__.product_template_633","stock.warehouse0","stock.stock_location_stock","base.main_company","160.0","161.0","1","1"
"__setup__.stock_warehouse_orderpoint_1645","MCPKG00992A","__setup__.product_template_1645","stock.warehouse0","stock.stock_location_stock","base.main_company","150.0","151.0","1","1"
"__setup__.stock_warehouse_orderpoint_1754","MCPLA01506A","__setup__.product_template_1754","stock.warehouse0","stock.stock_location_stock","base.main_company","1800.0","1801.0","1","1"
"__setup__.stock_warehouse_orderpoint_1614","HWPCB00786A","__setup__.product_template_1614","stock.warehouse0","stock.stock_location_stock","base.main_company","190.0","191.0","1","1"
"__setup__.stock_warehouse_orderpoint_2015","MCLAB00627A","__setup__.product_template_2015","stock.warehouse0","stock.stock_location_stock","base.main_company","600.0","601.0","1","1"
"__setup__.stock_warehouse_orderpoint_871","MCPLA01510A","__setup__.product_template_871","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_732","60281","__setup__.product_template_732","stock.warehouse0","stock.stock_location_stock","base.main_company","315.0","316.0","1","1"
"__setup__.stock_warehouse_orderpoint_1867","PF074003AA","__setup__.product_template_1867","stock.warehouse0","stock.stock_location_stock","base.main_company","30.0","31.0","1","1"
"__setup__.stock_warehouse_orderpoint_276","60126 ","__setup__.product_template_276","stock.warehouse0","stock.stock_location_stock","base.main_company","290.0","291.0","1","1"
"__setup__.stock_warehouse_orderpoint_726","MCFAS00450A","__setup__.product_template_726","stock.warehouse0","stock.stock_location_stock","base.main_company","315.0","316.0","1","1"
"__setup__.stock_warehouse_orderpoint_836","MCOTH00511A","__setup__.product_template_836","stock.warehouse0","stock.stock_location_stock","base.main_company","1500.0","1501.0","1","1"
"__setup__.stock_warehouse_orderpoint_794","60304","__setup__.product_template_794","stock.warehouse0","stock.stock_location_stock","base.main_company","20.0","21.0","1","1"
"__setup__.stock_warehouse_orderpoint_1525","MCLAB00535A","__setup__.product_template_1525","stock.warehouse0","stock.stock_location_stock","base.main_company","250.0","251.0","1","1"
"__setup__.stock_warehouse_orderpoint_1742","MCPLA01563A","__setup__.product_template_1742","stock.warehouse0","stock.stock_location_stock","base.main_company","150.0","151.0","1","1"
"__setup__.stock_warehouse_orderpoint_1983","MCBAT00017A","__setup__.product_template_1983","stock.warehouse0","stock.stock_location_stock","base.main_company","3200.0","3201.0","1","1"
"__setup__.stock_warehouse_orderpoint_1607","MCCBL00071A","__setup__.product_template_1607","stock.warehouse0","stock.stock_location_stock","base.main_company","1000.0","1001.0","1","1"
"__setup__.stock_warehouse_orderpoint_619","60254","__setup__.product_template_619","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1708","MCFAS00437A","__setup__.product_template_1708","stock.warehouse0","stock.stock_location_stock","base.main_company","1500.0","1501.0","1","1"
"__setup__.stock_warehouse_orderpoint_283","60133","__setup__.product_template_283","stock.warehouse0","stock.stock_location_stock","base.main_company","335.0","336.0","1","1"
"__setup__.stock_warehouse_orderpoint_260","MCOTH00514A","__setup__.product_template_260","stock.warehouse0","stock.stock_location_stock","base.main_company","350.0","351.0","1","1"
"__setup__.stock_warehouse_orderpoint_717","EB2","__setup__.product_template_717","stock.warehouse0","stock.stock_location_stock","base.main_company","1.0","2.0","1","1"
"__setup__.stock_warehouse_orderpoint_1871","MCCBL00078C","__setup__.product_template_1871","stock.warehouse0","stock.stock_location_stock","base.main_company","550.0","551.0","1","1"
"__setup__.stock_warehouse_orderpoint_955","60151B","__setup__.product_template_955","stock.warehouse0","stock.stock_location_stock","base.main_company","200.0","201.0","1","1"
"__setup__.stock_warehouse_orderpoint_1758","MCLAB00566A","__setup__.product_template_1758","stock.warehouse0","stock.stock_location_stock","base.main_company","200.0","201.0","1","1"
"__setup__.stock_warehouse_orderpoint_1483","SF002001AB","__setup__.product_template_1483","stock.warehouse0","stock.stock_location_stock","base.main_company","200.0","201.0","1","1"
"__setup__.stock_warehouse_orderpoint_1905","MCFOM00100A","__setup__.product_template_1905","stock.warehouse0","stock.stock_location_stock","base.main_company","500.0","501.0","1","1"
"__setup__.stock_warehouse_orderpoint_1040","MCELE00345C","__setup__.product_template_1040","stock.warehouse0","stock.stock_location_stock","base.main_company","50.0","51.0","1","1"
"__setup__.stock_warehouse_orderpoint_1579","MCCBL00070A","__setup__.product_template_1579","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1038","MCELE00285D","__setup__.product_template_1038","stock.warehouse0","stock.stock_location_stock","base.main_company","50.0","51.0","1","1"
"__setup__.stock_warehouse_orderpoint_1039","MCELE00287D","__setup__.product_template_1039","stock.warehouse0","stock.stock_location_stock","base.main_company","50.0","51.0","1","1"
"__setup__.stock_warehouse_orderpoint_261","60110","__setup__.product_template_261","stock.warehouse0","stock.stock_location_stock","base.main_company","175.0","176.0","1","1"
"__setup__.stock_warehouse_orderpoint_1712","MCSAS00592A","__setup__.product_template_1712","stock.warehouse0","stock.stock_location_stock","base.main_company","500.0","501.0","1","1"
"__setup__.stock_warehouse_orderpoint_1757","MCLAB00559B","__setup__.product_template_1757","stock.warehouse0","stock.stock_location_stock","base.main_company","100.0","101.0","1","1"
"__setup__.stock_warehouse_orderpoint_1034","MCELE00273F","__setup__.product_template_1034","stock.warehouse0","stock.stock_location_stock","base.main_company","50.0","51.0","1","1"
"__setup__.stock_warehouse_orderpoint_268","60117","__setup__.product_template_268","stock.warehouse0","stock.stock_location_stock","base.main_company","410.0","411.0","1","1"
