"id","company_id/id","name","origin","partner_id/id","date_order","pricelist_id/id","incoterm/id","user_id/id","confirmation_date","client_order_ref","state"
"__setup__.sale_order_8064","base.main_company","Q201704126418","","__setup__.res_partner_7129","2017-04-12","product.list0","stock.incoterm_DAP","__setup__.res_users_52","","","draft"
"__setup__.sale_order_8320","__setup__.company_inc","Q201705101100","","__setup__.res_partner_3970","2017-05-09","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-05-10","0100064792","sale"
"__setup__.sale_order_8699","base.main_company","Q201706226856","","__setup__.res_partner_601","2017-06-22","product.list0","stock.incoterm_DAP","__setup__.res_users_192","","","draft"
"__setup__.sale_order_8794","__setup__.company_inc","Q201706301266","","__setup__.res_partner_1064","2017-06-30","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-06-30","21756","done"
"__setup__.sale_order_8020","base.main_company","Q201704076385","","__setup__.company_inc","2017-04-07","product.list0","","__setup__.res_users_37","2017-04-07","PO20170406094","sale"
"__setup__.sale_order_8264","base.main_company","Q201705046551","","__setup__.company_inc","2017-05-04","product.list0","","__setup__.res_users_37","2017-05-04","PO20170501106","sale"
"__setup__.sale_order_9531","base.main_company","Q201710027508","","__setup__.res_partner_4737","2017-10-02","product.list0","","__setup__.res_users_134","2017-10-02","252-SF","sale"
"__setup__.sale_order_8872","base.main_company","Q201707116985","","__setup__.res_partner_7147","2017-07-11","product.list0","stock.incoterm_DAP","__setup__.res_users_52","2017-07-14","","sale"
"__setup__.sale_order_8708","__setup__.company_inc","Q201706231237","","__setup__.res_partner_7331","2017-06-23","product.list0","stock.incoterm_DAP","__setup__.res_users_142","2017-06-23","","sale"
"__setup__.sale_order_8342","__setup__.company_inc","Q201705121106","","__setup__.res_partner_2841","2017-05-12","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-05-15","1079","sale"
"__setup__.sale_order_9507","base.main_company","Q201709287486","","__setup__.res_partner_1099","2017-09-28","product.list0","stock.incoterm_DAP","__setup__.res_users_201","2017-09-28","","done"
"__setup__.sale_order_8418","__setup__.company_inc","Q201705221134","","__setup__.res_partner_1020","2017-05-22","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-05-22","0013860","done"
"__setup__.sale_order_8432","__setup__.company_inc","Q201705231135","","__setup__.res_partner_1020","2017-05-23","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-05-23","0013707","sale"
"__setup__.sale_order_7663","__setup__.company_inc","Q20170303860","","__setup__.res_partner_3335","2017-03-03","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-03-03","005392TM","sale"
"__setup__.sale_order_8429","base.main_company","Q201705236666","","__setup__.res_partner_538","2017-05-23","product.list0","","__setup__.res_users_37","","","draft"
"__setup__.sale_order_7796","__setup__.company_inc","Q20170315909","","__setup__.res_partner_1064","2017-03-15","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-03-15","21253","done"
"__setup__.sale_order_8977","base.main_company","Q201707257061","","__setup__.res_partner_3095","2017-07-25","product.list0","stock.incoterm_DAP","__setup__.res_users_77","2017-07-26","","sale"
"__setup__.sale_order_9658","base.main_company","Q201710187593","","__setup__.res_partner_6456","2017-10-18","product.list0","stock.incoterm_DDP","__setup__.res_users_200","","703179","draft"
"__setup__.sale_order_8649","__setup__.company_inc","Q201706161216","","__setup__.res_partner_2841","2017-06-16","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-06-16","1080","sale"
"__setup__.sale_order_7984","base.main_company","Q201704046358","","__setup__.res_partner_262","2017-04-04","product.list0","stock.incoterm_FCA","__setup__.res_users_134","2017-04-05","SFLY-AG-012-2017","sale"
"__setup__.sale_order_8179","__setup__.company_inc","Q201704251041","","__setup__.res_partner_5","2017-04-25","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-04-26","354","sale"
"__setup__.sale_order_7992","base.main_company","Q201704056365","","__setup__.res_partner_7110","2017-04-05","product.list0","stock.incoterm_DDP","__setup__.res_users_183","2017-04-10","","sale"
"__setup__.sale_order_8344","base.main_company","Q201705136603","","__setup__.res_partner_3169","2017-05-12","product.list0","stock.incoterm_DAP","__setup__.res_users_77","2017-05-13","","done"
"__setup__.sale_order_8218","base.main_company","Q201704286523","","__setup__.res_partner_24","2017-04-28","product.list0","stock.incoterm_DAP","__setup__.res_users_53","2017-05-01","MS_E_17","done"
"__setup__.sale_order_8156","__setup__.company_inc","Q201704211029","","__setup__.res_partner_1020","2017-04-21","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-04-21","0013737","done"
"__setup__.sale_order_8229","__setup__.company_inc","Q201705011058","","__setup__.res_partner_1020","2017-05-01","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-05-01","0013763","sale"
"__setup__.sale_order_8825","__setup__.company_inc","Q201707051277","","__setup__.res_partner_1064","2017-07-05","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-07-05","21769","done"
"__setup__.sale_order_9135","base.main_company","Q201708147177","","__setup__.res_partner_145","2017-08-14","product.list0","stock.incoterm_DAP","__setup__.res_users_53","2017-08-16","DAS-5564","sale"
"__setup__.sale_order_8879","base.main_company","Q201707116993","","__setup__.res_partner_262","2017-07-11","product.list0","stock.incoterm_CPT","__setup__.res_users_134","2017-07-12","SFLY-AG-031-2017","done"
"__setup__.sale_order_7987","base.main_company","Q201704056360","","__setup__.company_inc","2017-04-05","product.list0","stock.incoterm_DAP","__setup__.res_users_37","2017-04-05","PO20170324086","sale"
"__setup__.sale_order_7329","base.main_company","Q201701255882","","__setup__.res_partner_1162","2017-01-25","product.list0","stock.incoterm_DAP","__setup__.res_users_134","2017-01-26","Orden #3-2017","sale"
"__setup__.sale_order_7150","base.main_company","Q201701025752","","__setup__.res_partner_4354","2017-01-02","product.list0","stock.incoterm_EXW","__setup__.res_users_134","2017-01-16","191135/D","done"
"__setup__.sale_order_8901","base.main_company","Q201707147013","","__setup__.res_partner_7110","2017-07-14","product.list0","stock.incoterm_DAP","__setup__.res_users_53","","","draft"
"__setup__.sale_order_7998","base.main_company","Q201704066366","","__setup__.res_partner_4271","2017-04-06","product.list0","stock.incoterm_DAP","__setup__.res_users_53","2017-04-12","","done"
"__setup__.sale_order_8609","base.main_company","Q201706136796","","__setup__.res_partner_3095","2017-06-13","product.list0","stock.incoterm_DAP","__setup__.res_users_77","2017-06-13","","done"
"__setup__.sale_order_7409","base.main_company","Q201702045940","","__setup__.res_partner_1162","2017-02-04","product.list0","stock.incoterm_DAP","__setup__.res_users_134","2017-02-04","#4-2017","done"
"__setup__.sale_order_8172","base.main_company","Q201704256495","","__setup__.res_partner_96","2017-04-25","product.list0","stock.incoterm_DAP","__setup__.res_users_53","","","draft"
"__setup__.sale_order_8123","base.main_company","Q201704196466","","__setup__.res_partner_601","2017-04-19","product.list0","stock.incoterm_DAP","__setup__.res_users_77","2017-04-19","","done"
"__setup__.sale_order_8084","base.main_company","Q201704136439","","__setup__.company_inc","2017-04-13","product.list0","","__setup__.res_users_37","2017-04-13","PO20170413099","done"
"__setup__.sale_order_7350","base.main_company","Q201701305899","","__setup__.res_partner_10","2017-01-30","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-30","PO002155-1","done"
"__setup__.sale_order_9524","base.main_company","Q201710027501","","__setup__.res_partner_7248","2017-10-02","product.list0","stock.incoterm_DAP","__setup__.res_users_52","2017-10-02","PO 17-10-02","sale"
"__setup__.sale_order_7708","__setup__.company_inc","Q20170308881","","__setup__.res_partner_3335","2017-03-08","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-03-08","063503","sale"
"__setup__.sale_order_7719","__setup__.company_inc","Q20170309885","","__setup__.res_partner_3335","2017-03-09","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-03-09","048234TC","sale"
"__setup__.sale_order_8335","__setup__.company_inc","Q201705111104","","__setup__.res_partner_5","2017-05-11","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-05-11","356","sale"
"__setup__.sale_order_7718","__setup__.company_inc","Q20170309884","","__setup__.res_partner_3335","2017-03-09","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-03-09","067478TS","sale"
"__setup__.sale_order_7730","__setup__.company_inc","Q20170309887","","__setup__.res_partner_3335","2017-03-09","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-03-09","048304","sale"
"__setup__.sale_order_7351","base.main_company","Q201701305901","","__setup__.res_partner_10","2017-01-30","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-30","PO002156-1","done"
"__setup__.sale_order_7790","__setup__.company_inc","Q20170315903","","__setup__.res_partner_3335","2017-03-15","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-03-15","048384","sale"
"__setup__.sale_order_7561","base.main_company","Q201702216054","","__setup__.res_partner_3095","2017-02-21","product.list0","stock.incoterm_DAP","__setup__.res_users_77","2017-02-22","","done"
"__setup__.sale_order_8473","base.main_company","Q201705296694","","__setup__.res_partner_787","2017-05-29","product.list0","stock.incoterm_DAP","__setup__.res_users_52","2017-05-29","PO 3_2017","done"
"__setup__.sale_order_7462","base.main_company","Q201702095978","","__setup__.res_partner_1162","2017-02-09","product.list0","stock.incoterm_DAP","__setup__.res_users_134","2017-02-13","#5-2017","done"
"__setup__.sale_order_7537","base.main_company","Q201702206034","","__setup__.res_partner_601","2017-02-20","product.list0","stock.incoterm_DAP","__setup__.res_users_77","2017-03-16","","done"
"__setup__.sale_order_8945","base.main_company","Q201707197040","","__setup__.res_partner_2853","2017-07-19","product.list0","stock.incoterm_FCA","__setup__.res_users_192","","","draft"
"__setup__.sale_order_8060","base.main_company","Q201704126415","","__setup__.res_partner_970","2017-04-12","product.list0","stock.incoterm_DAP","__setup__.res_users_53","2017-04-18","HNIT-003","done"
"__setup__.sale_order_8147","base.main_company","Q201704206482","","__setup__.res_partner_3219","2017-04-20","product.list0","stock.incoterm_FCA","__setup__.res_users_53","2017-04-20","PO00815","sale"
"__setup__.sale_order_8772","base.main_company","Q201706296906","","__setup__.res_partner_2637","2017-06-29","product.list0","stock.incoterm_DAP","__setup__.res_users_53","","","draft"
"__setup__.sale_order_7921","base.main_company","Q201703286310","","__setup__.res_partner_6137","2017-03-28","product.list0","stock.incoterm_DAP","__setup__.res_users_52","2017-03-30","PO-20170329","done"
"__setup__.sale_order_8736","base.main_company","Q201706276877","","__setup__.res_partner_6360","2017-06-27","product.list0","stock.incoterm_DDP","__setup__.res_users_53","2017-06-27","sF_20170626_sf_Uni Basel","done"
"__setup__.sale_order_8241","base.main_company","Q201705026536","","__setup__.res_partner_24","2017-05-02","product.list0","stock.incoterm_DAP","__setup__.res_users_53","2017-05-08","MS_E_18","done"
"__setup__.sale_order_8987","base.main_company","Q201707267073","","__setup__.res_partner_7420","2017-07-26","product.list0","stock.incoterm_DAP","__setup__.res_users_53","2017-07-31","","done"
"__setup__.sale_order_7964","base.main_company","Q201704036339","","__setup__.res_partner_3","2017-04-03","product.list0","stock.incoterm_DAP","__setup__.res_users_52","2017-04-04","HUN/028361","done"
"__setup__.sale_order_8746","base.main_company","Q201706276886","","__setup__.res_partner_6319","2017-06-27","product.list0","stock.incoterm_DAP","__setup__.res_users_134","2017-06-28","SIL/17093","done"
"__setup__.sale_order_7763","__setup__.company_inc","Q20170314897","","__setup__.res_partner_3335","2017-03-14","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-03-15","048356","sale"
"__setup__.sale_order_7399","base.main_company","Q201702035933","","__setup__.res_partner_10","2017-02-03","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-02-06","PO002360-1","done"
"__setup__.sale_order_8036","base.main_company","Q201704106396","","__setup__.res_partner_7116","2017-04-10","product.list0","stock.incoterm_DDP","__setup__.res_users_183","2017-04-10","","sale"
"__setup__.sale_order_7398","base.main_company","Q201702035931","","__setup__.res_partner_10","2017-02-03","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-02-06","PO002356-1","done"
"__setup__.sale_order_8372","base.main_company","Q201705176628","","__setup__.res_partner_3169","2017-05-17","product.list0","stock.incoterm_DAP","__setup__.res_users_77","2017-05-17","","done"
"__setup__.sale_order_7530","base.main_company","Q201702166029","","__setup__.res_partner_1162","2017-02-16","product.list0","stock.incoterm_DAP","__setup__.res_users_134","2017-02-20","#6-2017","done"
"__setup__.sale_order_7798","base.main_company","Q201703166215","","__setup__.res_partner_7049","2017-03-16","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-03-20","PO2168","done"
"__setup__.sale_order_8013","base.main_company","Q201704066376","","__setup__.res_partner_262","2017-04-06","product.list0","stock.incoterm_FCA","__setup__.res_users_134","2017-04-06","SFLY-AG-014-2017","done"
"__setup__.sale_order_9504","base.main_company","Q201709287483","","__setup__.res_partner_3","2017-09-28","product.list0","stock.incoterm_FCA","__setup__.res_users_52","2017-09-28","DUB/006790","sale"
"__setup__.sale_order_7410","base.main_company","Q201702065941","","__setup__.res_partner_10","2017-02-06","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-02-07","PO002358-1","done"
"__setup__.sale_order_8317","__setup__.company_inc","Q201705101097","","__setup__.res_partner_1020","2017-05-09","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-05-10","0013795","sale"
"__setup__.sale_order_8081","base.main_company","Q201704136437","","__setup__.res_partner_7131","2017-04-13","product.list0","stock.incoterm_DAP","__setup__.res_users_40","2017-04-13","","done"
"__setup__.sale_order_8119","base.main_company","Q201704196461","","__setup__.res_partner_24","2017-04-19","product.list0","stock.incoterm_FCA","__setup__.res_users_53","2017-04-19","MS_E_14 del 19/04/2017","sale"
"__setup__.sale_order_6778","__setup__.company_inc","Q20161110562","","__setup__.res_partner_6692","2017-02-09","product.list0","stock.incoterm_DAP","__setup__.res_users_142","2017-04-18","0000801547","sale"
"__setup__.sale_order_8489","base.main_company","Q201705306709","","__setup__.res_partner_4737","2017-05-30","product.list0","stock.incoterm_DAP","__setup__.res_users_134","2017-05-30","#203-SF","done"
"__setup__.sale_order_7891","base.main_company","Q201703276289","","__setup__.res_partner_3","2017-03-27","product.list0","stock.incoterm_DAP","__setup__.res_users_52","2017-03-27","HUN/028307","done"
"__setup__.sale_order_8584","base.main_company","Q201706096783","","__setup__.res_partner_6456","2017-06-09","product.list0","stock.incoterm_FCA","__setup__.res_users_53","2017-06-09","703046","sale"
"__setup__.sale_order_9589","base.main_company","Q201710107543","","__setup__.res_partner_1099","2017-10-10","product.list0","stock.incoterm_DDP","__setup__.res_users_201","2017-10-11","","done"
"__setup__.sale_order_7553","base.main_company","Q201702216045","","__setup__.res_partner_6278","2017-02-21","product.list0","stock.incoterm_EXW","__setup__.res_users_77","2017-03-03","","sale"
"__setup__.sale_order_9043","base.main_company","Q201708037114","","__setup__.res_partner_630","2017-08-03","product.list0","stock.incoterm_DAP","__setup__.res_users_52","2017-08-04","2017_066","done"
"__setup__.sale_order_8107","__setup__.company_inc","Q201704181012","","__setup__.res_partner_6684","2017-04-18","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-04-19","018044","sale"
"__setup__.sale_order_8067","__setup__.company_inc","Q20170412999","","__setup__.res_partner_6820","2017-04-12","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-04-14","0001","sale"
"__setup__.sale_order_9469","base.main_company","Q201709227458","","__setup__.res_partner_6178","2017-09-22","product.list0","stock.incoterm_EXW","__setup__.res_users_52","2017-09-22","","done"
"__setup__.sale_order_8314","__setup__.company_inc","Q201705101094","","__setup__.res_partner_1224","2017-05-09","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-05-11","543","sale"
"__setup__.sale_order_8068","__setup__.company_inc","Q201704121000","","__setup__.res_partner_3335","2017-04-12","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-04-12","048783TC","sale"
"__setup__.sale_order_8587","__setup__.company_inc","Q201706091190","","__setup__.res_partner_1200","2017-06-09","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-06-09","PO8861","sale"
"__setup__.sale_order_7825","base.main_company","Q201703206240","","__setup__.res_partner_1099","2017-03-20","product.list0","stock.incoterm_DAP","__setup__.res_users_77","2017-03-23","Order 20170318","done"
"__setup__.sale_order_8867","base.main_company","Q201707086979","","__setup__.res_partner_6259","2017-07-08","product.list0","stock.incoterm_DAP","__setup__.res_users_192","","","draft"
"__setup__.sale_order_7645","base.main_company","Q201703026104","","__setup__.res_partner_3169","2017-03-02","product.list0","stock.incoterm_DAP","__setup__.res_users_77","2017-03-03","","done"
"__setup__.sale_order_7978","base.main_company","Q201704046352","","__setup__.res_partner_4985","2017-04-04","product.list0","stock.incoterm_DAP","__setup__.res_users_77","2017-04-10","","sale"
"__setup__.sale_order_7519","base.main_company","Q201702166021","","__setup__.res_partner_1099","2017-02-16","product.list0","stock.incoterm_FCA","__setup__.res_users_77","2017-02-21","","done"
"__setup__.sale_order_7977","base.main_company","Q201704046351","","__setup__.res_partner_3","2017-04-04","product.list0","stock.incoterm_DAP","__setup__.res_users_52","2017-04-05","HUN/028381","done"
"__setup__.sale_order_7552","base.main_company","Q201702216044","","__setup__.res_partner_10","2017-02-21","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-02-21","PO002520-1","done"
"__setup__.sale_order_9292","base.main_company","Q201709017296","","__setup__.res_partner_3","2017-09-01","product.list0","","__setup__.res_users_52","","DUB/006719","draft"
"__setup__.sale_order_7946","base.main_company","Q201703316331","","__setup__.res_partner_1021","2017-03-31","product.list0","stock.incoterm_DAP","__setup__.res_users_53","2017-04-03","I-ORD170398","done"
"__setup__.sale_order_8161","__setup__.company_inc","Q201704211032","","__setup__.res_partner_3335","2017-04-21","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-04-21","WG64728","sale"
"__setup__.sale_order_8032","base.main_company","Q201704106392","","__setup__.res_partner_197","2017-04-10","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-04-10","07/04-2017","done"
