"id","code","name","active","street","street2","city","zip","country/id","phone","fax","state","email","clearing","bic","ccp"
"__setup__.res_bank_3766","","UBS AG","true","Seestrasse 7","","Spiez","3700","base.ch","033 655 93 33","","","","","UBSWCHZH36A",""
"__setup__.res_bank_3767","","UBS AG","true","Mühlegasse 1","","Zweisimmen","3770","base.ch","033 729 77 77","","","","","UBSWCHZH36A",""
"__setup__.res_bank_3768","","UBS SA","true","Centre La Combe/R. de la Môrache 6","","Nyon 1","1260","base.ch","022 363 71 11","","","","","UBSWCHZH12T",""
"__setup__.res_bank_3769","","UBS SA","true","Rue du Borgeaud 2","","Gland","1196","base.ch","022 354 93 11","","","","","UBSWCHZH12T",""
"__setup__.res_bank_3770","","UBS AG","true","Bahnhofstrasse 45","","Zürich","8098","base.ch","044 234 11 11","","","","","UBSWCHZH80A",""
"__setup__.res_bank_3771","","UBS AG","true","Bahnhofstrasse 61","","Aarau","5001","base.ch","062 835 91 91","","","","","UBSWCHZH50A",""
"__setup__.res_bank_3772","","UBS AG","true","Bahnhofstrasse 7","","Lenzburg 1","5600","base.ch","062 885 25 25","","","","","UBSWCHZH50A",""
"__setup__.res_bank_3773","","UBS AG","true","Schaffhauserstrasse 28","","Stein AG","4332","base.ch","062 866 45 45","","","","","UBSWCHZH50A",""
"__setup__.res_bank_3774","","UBS AG","true","Niklaus-Thut-Platz 9","","Zofingen","4800","base.ch","062 745 85 00","","","","","UBSWCHZH50A",""
"__setup__.res_bank_3775","","UBS AG","true","Bahnhofstrasse 5","","Reinach AG","5734","base.ch","062 765 59 59","","","","","UBSWCHZH50A",""
"__setup__.res_bank_3776","","UBS AG","true","Badstrasse 12","","Baden","5401","base.ch","056 200 61 11","","","","","UBSWCHZH54A",""
"__setup__.res_bank_3777","","UBS AG","true","Landstrasse 61","","Wettingen 1","5430","base.ch","056 437 66 66","","","","","UBSWCHZH54A",""
"__setup__.res_bank_3778","","UBS AG","true","Hauptstrasse 55","","Bad Zurzach","5330","base.ch","056 269 68 11","","","","","UBSWCHZH54A",""
"__setup__.res_bank_3779","","UBS AG","true","Aeschenplatz 6","","Basel","4002","base.ch","061 288 50 50","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3780","","UBS AG","true","Baslerstrasse 96","","Allschwil 1","4123","base.ch","061 486 42 42","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3781","","UBS AG","true","Hauptstrasse 31","","Arlesheim","4144","base.ch","061 706 26 26","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3782","","UBS AG","true","Ahornhof, Türkheimerstrasse","","Basel","4009","base.ch","061 306 73 73","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3783","","UBS AG","true","Austrasse 2","","Reinach BL 1","4153","base.ch","061 716 72 72","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3784","","UBS AG","true","Baselstrasse 48","","Riehen 1","4125","base.ch","061 645 21 21","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3785","","UBS AG","true","Gellert / Hardstrasse 143","","Basel","4020","base.ch","061 378 41 41","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3786","","UBS AG","true","Tellplatz 12","","Basel","4018","base.ch","061 366 57 57","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3787","","UBS AG","true","Oberwilerstrasse 2","","Binningen 1","4102","base.ch","061 426 52 52","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3788","","UBS AG","true","Hauptstrasse 68","","Muttenz 1","4132","base.ch","061 467 51 51","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3789","","UBS AG","true","Bahnhofstrasse 5","","Pratteln 1","4133","base.ch","061 826 71 71","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3790","","UBS AG","true","Kleinbasel / Claraplatz 2","","Basel","4005","base.ch","061 695 20 20","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3791","","UBS AG","true","Centralbahnplatz 6","","Basel","4002","base.ch","061 270 46 46","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3792","","UBS AG","true","Lysbüchel / Elsässersrasse 256","","Basel","4013","base.ch","061 327 43 43","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3793","","UBS AG","true","Neubad / Neubadstrasse 146","","Basel","4015","base.ch","061 306 58 58","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3794","","UBS AG","true","St. Johann / Elsässerstrasse 16","","Basel","4013","base.ch","061 385 24 24","","","","","UBSWCHZH40A",""
"__setup__.res_bank_3795","","UBS AG","true","Hauptstrasse 53","","Birsfelden","4127","base.ch","061 319 23 23","","","","","UBSWCHZH40A",""
